New 10 digit PSGC,New 10 PCODE,Region,Reg_Code,Province,Prov_Code,Mun_City,Mun_Code,Barangay,Bgy_Code,Bgy_Old names,Urban / Rural,2020 Census
603043001,PH0603043001,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Agusipan,PH063043001,,R,554
603043002,PH0603043002,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Agutayan,PH063043002,,R,904
603043003,PH0603043003,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Bagumbayan,PH063043003,,R,732
603043004,PH0603043004,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Balabag,PH063043004,,R,3728
603043005,PH0603043005,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Balibagan Este,PH063043005,,R,1960
603043006,PH0603043006,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Balibagan Oeste,PH063043006,,R,844
603043007,PH0603043007,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Ban-ag,PH063043007,,R,285
603043008,PH0603043008,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Bantay,PH063043008,,R,428
603043009,PH0603043009,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone I ,PH063043009,,U,729
603043010,PH0603043010,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone II ,PH063043010,,U,1435
603043011,PH0603043011,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone III ,PH063043011,,U,706
603043012,PH0603043012,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone IV ,PH063043012,,R,2034
603043013,PH0603043013,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone V ,PH063043013,,U,1381
603043014,PH0603043014,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barasan Este,PH063043014,,R,934
603043015,PH0603043015,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barasan Oeste,PH063043015,,R,571
603043016,PH0603043016,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Binangkilan,PH063043016,,R,1042
603043017,PH0603043017,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Bitaog-Taytay,PH063043017,,R,361
603043018,PH0603043018,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Bolong Este,PH063043018,,R,1995
603043019,PH0603043019,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Bolong Oeste,PH063043019,,R,2941
603043020,PH0603043020,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Buayahon,PH063043020,,R,691
603043021,PH0603043021,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Buyo,PH063043021,,R,1678
603043022,PH0603043022,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Cabugao Norte,PH063043022,,R,2258
603043023,PH0603043023,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Cabugao Sur,PH063043023,,R,1683
603043024,PH0603043024,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Cadagmayan Norte,PH063043024,,R,2284
603043025,PH0603043025,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Cadagmayan Sur,PH063043025,,R,652
603043026,PH0603043026,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Cafe,PH063043026,,R,1366
603043027,PH0603043027,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Calaboa Este,PH063043027,,R,434
603043028,PH0603043028,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Calaboa Oeste,PH063043028,,R,424
603043029,PH0603043029,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Camambugan,PH063043029,,R,816
603043030,PH0603043030,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Canipayan,PH063043030,,R,398
603043032,PH0603043032,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Conaynay,PH063043032,,R,478
603043033,PH0603043033,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Daga,PH063043033,,R,1394
603043034,PH0603043034,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Dalid,PH063043034,,R,670
603043035,PH0603043035,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Duyanduyan,PH063043035,,U,1493
603043036,PH0603043036,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Gen. Martin T. Delgado,PH063043036,,R,1904
603043037,PH0603043037,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Guno,PH063043037,,R,492
603043038,PH0603043038,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Inangayan,PH063043038,,R,3543
603043039,PH0603043039,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Jibao-an,PH063043039,,R,612
603043040,PH0603043040,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Lacadon,PH063043040,,R,738
603043041,PH0603043041,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Lanag,PH063043041,,R,2276
603043042,PH0603043042,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Lupa,PH063043042,,R,1211
603043043,PH0603043043,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Magancina,PH063043043,,R,809
603043044,PH0603043044,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Malawog,PH063043044,,R,593
603043045,PH0603043045,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Mambuyo,PH063043045,,R,414
603043046,PH0603043046,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Manhayang,PH063043046,,R,451
603043047,PH0603043047,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Miraga-Guibuangan,PH063043047,,R,1110
603043048,PH0603043048,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Nasugban,PH063043048,,R,1052
603043049,PH0603043049,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Omambog,PH063043049,,R,215
603043050,PH0603043050,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Pal-Agon,PH063043050,,R,812
603043051,PH0603043051,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Pungsod,PH063043051,,R,400
603043052,PH0603043052,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,San Sebastian,PH063043052,,R,1508
603043053,PH0603043053,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Sangcate,PH063043053,,R,405
603043054,PH0603043054,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Tagsing,PH063043054,,R,1015
603043055,PH0603043055,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Talanghauan,PH063043055,,R,886
603043056,PH0603043056,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Talongadian,PH063043056,,R,876
603043057,PH0603043057,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Tigtig,PH063043057,,R,708
603043058,PH0603043058,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Tungay,PH063043058,,U,864
603043059,PH0603043059,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Tuburan,PH063043059,,R,423
603043060,PH0603043060,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Tugas,PH063043060,,R,500
603043061,PH0603043061,Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,Barangay Zone VI ,PH063043061,,R,3530
